Experiment_Number,Experiment_Start,Experiment_End,Profile_name,Mean_temperature,Treatment,Incubator,Species,Frond_count_1,Frond_count_2,Frond_count_3,Dead_frond_count_1,Dead_frond_count_2,Dead_frond_count_3,Initial_area,Final_area,Area_difference
1 (116),08-Sep-23,13-Spet-23,simplelong25_1,25,constant,2,WG,13,8,9,0,2,2,0.081,0.08494274,0.00394274
2 (117),15-Sep-23,20-Sep-23,simplelong25_1,25,constant,2,WG,5,5,11,3,3,0,0.055,0.07140629,0.01640629
3 (118),22-Sep-23,27-Sep-23,simplelong25_1,25,constant,2,WG,9,19,10,3,3,4,0.065,0.141,0.076
4 (119),29-Sep-23,04-Oct-23,simplelong25_1,25,constant,2,WG,22,4,20,0,6,2,0.058,0.177,0.119
5 (120),06-Oct-23,11-Oct-23,simplelong14_1,14,constant,4,WG,10,8,10,0,0,0,0.063,0.089,0.026
6 (121),13-Oct-23,18-Oct-23,simplelong27_1,27,constant,,WG,34,39,40,1,0,0,,,
7,24-Nov-23,29-Nov-23,simplelong14_1,14,constant,2,WG,10,9,6,0,0,2,0.071,0.083,0.012
7,24-Nov-23,29-Nov-23,simplelong26.5_1,26.5,constant,3,WG,31,33,38,2,1,1,0.078,0.0313,0.0235
7,24-Nov-23,29-Nov-23,simplelong25_1,25,constant,4,WG,22,24,31,1,2,1,0.059,0.059,0.059
7,24-Nov-23,29-Nov-23,simplelong28.5_1,28.5,constant,6,WG,35,36,37,1,1,2,0.076,0.358,0.282
8,01-Dec-23,06-Dec-23,simplelong37_1,37,constant,2,WG,11,12,12,5,4,5,0.074,0.084,0.01
8,01-Dec-23,06-Dec-23,simplelong14_1,14,constant,3,WG,10,13,12,0,0,0,0.078,0.11,0.032
8,01-Dec-23,06-Dec-23,simplelong26.5_1,26.5,constant,4,WG,29,28,29,1,1,2,0.076,0.256,0.18
8,01-Dec-23,06-Dec-23,simplelong28.5_1,28.5,constant,6,WG,25,30,25,2,1,3,0.067,0.239,0.172
9,08-Dec-23,13-Dec-23,simplelong14_1,14,constant,2,WG,8,8,8,0,0,0,0.046,0.072,0.026
9,08-Dec-23,13-Dec-23,simplelong28.5_1,28.5,constant,3,WG,18,15,22,5,7,2,0.054,0.125,0.071
9,08-Dec-23,13-Dec-23,simplelong26.5_1,26.5,constant,4,WG,19,24,27,5,3,2,0.053,0.125,0.071
9,08-Dec-23,13-Dec-23,simplelong37_1,37,constant,6,WG,3,8,11,9,7,4,0.046,0.046,0
11,11-Jan-24,16-Jan-24,simplelong14_1,14,constant,2,WG,10,10,8,0,0,0,0.065,0.069,0.004
